parent_record_id,batch_id,exact_parent_path,purpose,record_types_allowed,lifecycle_state,currently_exists,occupancy_state,required_by_mapping_count,authority_state,ratification_reference,materialization_status,blocking_reason,human_authorization_required
DPP-001,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,Admit program governance text after RAT-CL-003/006,program_architecture; phase_closure_text; role_protocols_exports,PROGRAM_GOVERNANCE,NO,PARENT_ABSENT,4,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-003;RAT-CL-006,NOT AUTHORIZED,Parent absent; RAT-CL-006 approved parent set but folder creation not authorized in Phase 02D,YES
DPP-002,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,Program collection/state registries; five AUTHOR_FROM_RATIFICATION targets deferred under RAT-CL-007,program_registry; state_map; mirror_register_pointers,PROGRAM_REGISTRY,NO,PARENT_ABSENT,5,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006;RAT-CL-007,NOT AUTHORIZED,Parent absent; materialization not authorized; authority of five registry records deferred,YES
DPP-003,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,Phase evidence copies/exports that remain program-scoped,phase_evidence_md_json; quarantine_registers; source_root_maps,PROGRAM_EVIDENCE,NO,PARENT_ABSENT,15,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-003;RAT-CL-006,NOT AUTHORIZED,Parent absent; RAT-CL-006 approved parent set but folder creation not authorized in Phase 02D,YES
DPP-004,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,Pointers to TG institutional lanes and Drive binaries — never constitution copies,external_reference; institutional_pointer; cl_xbin_reference,REFERENCE_ONLY,NO,PARENT_ABSENT,13,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006,NOT AUTHORIZED,Parent absent; mapping rows currently EXCLUDED; pointer authoring and folder creation not authorized,YES
DPP-005,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,Builder/migration JSON schemas after RAT-CL-004/006,json_schema; builder_contract,BUILDER_CONTRACT,NO,PARENT_ABSENT,2,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-004;RAT-CL-006,NOT AUTHORIZED,Parent absent; RAT-CL-006 approved parent set but folder creation not authorized in Phase 02D,YES
DPP-006,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\06_MIGRATION_BATCHES,"Per-batch manifests, receipts, dry-runs, rollback registers",migration_manifest; copy_receipt; rollback_register,MIGRATION_CONTROL,NO,PARENT_ABSENT,0,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-005;RAT-CL-006,NOT AUTHORIZED,Parent absent; no current mapping rows; materialization not authorized,YES
DPP-007,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_VOLUMES_ACTIVE,Admitted active/working volume trees (no CL-VI),volume_trees,ACTIVE_VOLUME,NO,PARENT_ABSENT,0,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006,NOT AUTHORIZED,Parent absent; lifecycle parent; materialization not authorized,YES
DPP-008,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\20_SOURCE,Program source materials separated from generated output,source_packets; prompt_sources,SOURCE,NO,PARENT_ABSENT,0,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006,NOT AUTHORIZED,Parent absent; lifecycle parent; materialization not authorized,YES
DPP-009,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\30_GENERATED_OUTPUT,Generated page/issue imagery and derived renders,generated_png; derived_assets,GENERATED_OUTPUT,NO,PARENT_ABSENT,0,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006,NOT AUTHORIZED,Parent absent; lifecycle parent; materialization not authorized,YES
DPP-010,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\40_QC,QC reports and quarantine registers at program level,qc_reports; patch_registers,QC,NO,PARENT_ABSENT,0,TOPOLOGY_RATIFIED_MATERIALIZATION_PENDING,RAT-CL-001;RAT-CL-006,NOT AUTHORIZED,Parent absent; lifecycle parent; materialization not authorized,YES
