path,purpose,record_types_allowed,lifecycle_state,existing_or_proposed,authority_state,materialization_authorized
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,Crisis Liturgies program root inside repository candidate,Program trees only; not Gradient institutional constitution,PROGRAM_ROOT,EXISTING,REPOSITORY_CANDIDATE,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,"Program-local operational control lane (Phase packets, MIG scopes, receipts)",control_records; planning_packets; migration_batches; program_governance; external_reference_pointers,PROGRAM_CONTROL,EXISTING,PROGRAM_OPERATIONAL_CANDIDATE,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,Existing Chachipti production/handoff packet; classification pending,handoff; engine_contracts; series_status; corrective_intakes (pending classification),PRECLASSIFICATION_OCCUPANCY,EXISTING,UNRESOLVED_PENDING_RAT-CL-008,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE.zip,Zip duplicate of Chachipti lane; evidence only,package_duplicate,EVIDENCE_PACKAGE,EXISTING,UNRESOLVED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES,Existing expansion-volume working trees (EV-001 live),volume_working_trees; qc; release_snapshots under volume,ACTIVE_WORKING_EXPANSION,EXISTING,PROGRAM_OCCUPANCY_CANDIDATE,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING,Phase 02 planning packet (immutable for 02C),planning_artifacts,PLANNING_RECORD,EXISTING,SUPERSEDED_FOR_TOPOLOGY,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02B_PLANNING_QC,Phase 02B QC packet (immutable for 02C),qc_control_records,PLANNING_QC_RECORD,EXISTING,EVIDENCE,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR,Phase 02C repair and ratification packet,repair_records; revised_schemas; ratification_register,PLANNING_REPAIR_RECORD,PROPOSED_THIS_PHASE,CANDIDATE_CONTROL_RECORD,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,Admit program governance text after RAT-CL-003/006,program_architecture; phase_closure_text; role_protocols_exports,PROGRAM_GOVERNANCE,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,Program collection/state registries authored after RAT-CL-007,program_registry; state_map; mirror_register_pointers,PROGRAM_REGISTRY,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,Phase evidence copies/exports that remain program-scoped,phase_evidence_md_json; quarantine_registers; source_root_maps,PROGRAM_EVIDENCE,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,Pointers to TG institutional lanes and Drive binaries — never constitution copies,external_reference; institutional_pointer; cl_xbin_reference,REFERENCE_ONLY,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,Builder/migration JSON schemas after RAT-CL-004/006,json_schema; builder_contract,BUILDER_CONTRACT,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\06_MIGRATION_BATCHES,"Per-batch manifests, receipts, dry-runs, rollback registers",migration_manifest; copy_receipt; rollback_register,MIGRATION_CONTROL,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_VOLUMES_ACTIVE,Admitted active/working volume trees (no CL-VI),volume_trees,ACTIVE_VOLUME,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\20_SOURCE,Program source materials separated from generated output,source_packets; prompt_sources,SOURCE,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\30_GENERATED_OUTPUT,Generated page/issue imagery and derived renders,generated_png; derived_assets,GENERATED_OUTPUT,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\40_QC,QC reports and quarantine registers at program level,qc_reports; patch_registers,QC,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\50_RELEASE_ASSEMBLY,Release assembly work before freeze,assembly_packets,RELEASE_ASSEMBLY,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\60_RELEASE_SNAPSHOTS,Immutable snapshot manifests/pointers (binaries may stay external),snapshot_manifest; checksum; external_ref,RELEASE_SNAPSHOT,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\70_ARCHIVE,Historical/superseded program materials,historical; superseded; provenance_pointers,ARCHIVE,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE,Quarantined evidence with release conditions,quarantine_evidence,QUARANTINE,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_TEMPORARY,Ephemeral registered temp only,temp_fixtures,TEMPORARY,PROPOSED,NOT_RATIFIED_NOT_MATERIALIZED,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL,REJECTED — would create second institutional hierarchy,NONE — DO NOT CREATE,REJECTED,PROPOSED_THEN_REJECTED,REJECTED_BY_PHASE_02C_LOCK,NO
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\CL-VI,REJECTED — number unassigned; no folder or placeholder,NONE — DO NOT CREATE,REJECTED,PROHIBITED,PROHIBITED,NO
C:\Users\steve\Projects\gradient-institution\01_constitution,Gradient institutional lane — REFERENCE ONLY from CL; do not relocate into CL,institutional_constitution,INSTITUTIONAL,EXISTING_OUTSIDE_CL,INSTITUTIONAL_REFERENCE_TARGET,NO
C:\Users\steve\Projects\gradient-institution\03_governance,Gradient institutional governance lane — REFERENCE ONLY,institutional_governance,INSTITUTIONAL,EXISTING_OUTSIDE_CL,INSTITUTIONAL_REFERENCE_TARGET,NO
