authority_record_id,batch_id,source_filename,recommended_disposition,recommended_authority_state,recommended_destination,recommendation_reason,conditions_before_admission,human_ratification_required,copy_authorized
FAR-CL-001,CL-MIG-001A,CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,ADMIT_AS_OPERATIVE_PROGRAM_GOVERNANCE,OPERATIVE_PROGRAM_AUTHORITY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,Crisis Liturgies program audit controlling Chachipti packet admission; expressly rejects wholesale constitutional adoption; program-scoped not Gradient institution constitution.,Human confirms admission does not convert audit into constitution; retain PASS WITH REQUIRED AUTHORITY PATCHES posture.,YES,NO
FAR-CL-002,CL-MIG-001A,CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,DEFER_CONFLICTING_AUTHORITY,AUTHORITY_DEFERRED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,PARTIALLY RATIFIED body with provisional remainder; institutional-authority and canonical-repository language would misrepresent operative status under RAT-CL-002 if admitted unchanged into 01_PROGRAM_GOVERNANCE. Binding locks live in 001A.,Content patch/qualification or redirect as NONOPERATIVE phase evidence to 03_PHASE_EVIDENCE before admission.,YES,NO
FAR-CL-003,CL-MIG-001A,CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,ADMIT_AS_OPERATIVE_PROGRAM_GOVERNANCE,OPERATIVE_PROGRAM_AUTHORITY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,Machine-readable Human Founder lock set L-001..L-016 with named patches; NP-002 preserves Canon above repository; program-local when paired with RAT-CL-002.,Companion notice that gradient-institution remains REPOSITORY CANDIDATE (RAT-CL-002); L-001/L-011 do not permanently ratify institutional repository authority.,YES,NO
FAR-CL-004,CL-MIG-001A,CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,ADMIT_AS_OPERATIVE_PROGRAM_GOVERNANCE,OPERATIVE_PROGRAM_AUTHORITY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,Narrative binding ratification record; companion to JSON; program governance beneath Canon.,Same RAT-CL-002 candidate-posture companion notice as FAR-CL-003; admit md+json as companion pair.,YES,NO
FAR-CL-005,CL-MIG-001A,CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,Cursor read-only inventory packet defining Phase 00 disk evidence objective. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-006,CL-MIG-001A,CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,Phase 00 evidence freeze completion report with open local-disk gaps. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-007,CL-MIG-001A,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,Master conflict ledger JSON for open Phase 00 conflicts. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-008,CL-MIG-001A,CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,Master conflict ledger Markdown narrative/table. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-009,CL-MIG-001A,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,Master evidence register JSON for accessible CL evidence. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-010,CL-MIG-001A,CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,Master evidence register Markdown. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-011,CL-MIG-001A,CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,Phase 00 evidence-freeze package manifest listing member files and hashes. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-012,CL-MIG-001A,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,Quarantine register JSON for protective holds. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-013,CL-MIG-001A,CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,Quarantine register Markdown. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-014,CL-MIG-001A,CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,Source root map JSON of known CL roots. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-015,CL-MIG-001A,CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,Source root map Markdown. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-016,CL-MIG-001A,CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,Phase 00B Cursor disk inventory reconciliation JSON. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-017,CL-MIG-001A,CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,Phase 00B Cursor disk inventory reconciliation Markdown. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
FAR-CL-018,CL-MIG-001A,CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,ADMIT_AS_PHASE_EVIDENCE,ADMITTED_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,Phase 00B status update; substantively complete pending ingestion. Immutable completed-phase evidence under HAD-002; not operative program governance.,Admit with NONOPERATIVE / PHASE EVIDENCE status label; historically inaccurate canonical language retained as evidence only.,YES,NO
