exception_id,authority_record_id,source_path,language_type,content_location,historical_context,risk_if_admitted,requires_content_patch,requires_status_label,recommended_handling
ALE-001,FAR-CL-002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,canonical,Purpose item 3: canonical source-of-truth model,Architecture purpose statement,May be read as permanent source-of-truth for gradient-institution if admitted operative,YES,YES,Defer operative admission; patch/qualify or admit as nonoperative evidence
ALE-002,FAR-CL-002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,canonical,Section 3.1 / Section 12 Canonical repository architecture; L-001/L-006,Program production-root doctrine,Misread as RAT-CL-002 violation,YES,YES,Qualify: program operational root != permanent institutional repository ratification
ALE-003,FAR-CL-002,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,institutional authority,Layer 1: Institutional authority,Separates institution from tools,Heading may imply Gradient institutional constitution,YES,YES,Defer or nonoperative evidence until institution/program boundary label added
ALE-004,FAR-CL-003,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,canonical,L-001/L-006 texts; NP-001 Canonical Root,Human-ratified CL production locks 2026-07-13,Operative admission OK only with candidate-posture notice,NO,YES,Admit operative with RAT-CL-002 companion label
ALE-005,FAR-CL-003,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,institutional authority,NP-002 Institutional Authority Preservation,Preserves Canon above repository,Low if read correctly; high if inverted,NO,YES,Retain; label as program authority preservation
ALE-006,FAR-CL-004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,canonical,L-001/L-006; NP-001; closing item 5,Same as ALE-004 narrative,Same as ALE-004,NO,YES,Same as ALE-004
ALE-007,FAR-CL-004,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,institutional authority,NP-002 Institutional Authority Preservation,Same as ALE-005,Same as ALE-005,NO,YES,Same as ALE-005
ALE-008,FAR-CL-008,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,canonical,CF-014/CF-015: canonical copy versus mirror; canonical root,Phase 00 conflict ledger,Low if nonoperative evidence,NO,YES,Admit as PHASE EVIDENCE with NONOPERATIVE label
ALE-009,FAR-CL-007,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,canonical,required_resolution / subject CF-014/CF-015,JSON companion to ALE-008,Same as ALE-008,NO,YES,Same as ALE-008
ALE-010,FAR-CL-010,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,canonical,Canonical QC stacks row,Evidence register,Low under nonoperative admission,NO,YES,PHASE EVIDENCE NONOPERATIVE
