existing_path,existing_purpose,proposed_use,purpose_match,lifecycle_match,authority_match,occupancy_safe,requires_subfolder,requires_routing_reference_only,reuse_status,blocking_reason,related_parent_record_ids
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL,Existing program-local control root holding Phase 02/02B/02C/02D packets,Ancestor container for DPP-001..006 nested parents under program control (not itself a destination parent of the 18),YES_AS_ANCESTOR_ONLY,YES,YES_CANDIDATE_POSTURE,YES_IF_CHILDREN_CREATED_EMPTY,YES,NO,REUSE_WITH_RESTRICTIONS,Reuse permitted only as verified ancestor; do not dump MIG targets into phase packet folders; child parents still require separate creation authorization,DPP-001;DPP-002;DPP-003;DPP-004;DPP-005;DPP-006
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,Existing Crisis Liturgies program root,Ancestor container for lifecycle parents DPP-007..015,YES_AS_ANCESTOR_ONLY,YES,YES_CANDIDATE_POSTURE,YES_IF_CHILDREN_CREATED_EMPTY,YES,NO,REUSE_WITH_RESTRICTIONS,Reuse as ancestor only; lifecycle children are not auto-approved,DPP-007;DPP-008;DPP-009;DPP-010;DPP-011;DPP-012;DPP-013;DPP-014;DPP-015
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\EXPANSION_VOLUMES,Existing EV working/production trees for CL-EV volumes,Proposed DPP-007 10_VOLUMES_ACTIVE as general admitted active volume trees,NO,PARTIAL_ACTIVE_WORK,YES_CANDIDATE_POSTURE,NO,NO,NO,DO_NOT_REUSE,Same-name equivalence rejected; EXPANSION_VOLUMES is EV-specific occupied lane — not interchangeable with new empty 10_VOLUMES_ACTIVE hierarchy; creating 10_VOLUMES_ACTIVE now would be duplicative scaffolding,DPP-007
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,Existing Chachipti production/handoff lane with live components,Proposed DPP-016 quarantine pending-classification holding area,NO,NO,CLASSIFICATION_PENDING,NO,NO,NO,CLASSIFICATION_REQUIRED,Do not reuse occupied Chachipti lane as quarantine destination; classify-before-copy may keep files in place; same-name nested CORRECTIVE_INTAKES/CURSOR_PACKETS are source occupancy not destination equivalents,DPP-016;DPP-017;DPP-018
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CORRECTIVE_INTAKES,Existing Chachipti corrective-intakes source subfolder,Proposed DPP-017 quarantine nested CORRECTIVE_INTAKES,NO,NO,CLASSIFICATION_PENDING,NO,NO,NO,DO_NOT_REUSE,Same-name folders are not automatically equivalent; source occupancy must not be treated as destination quarantine parent,DPP-017
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CURSOR_PACKETS,Existing Chachipti cursor-packets source subfolder,Proposed DPP-018 quarantine nested CURSOR_PACKETS,NO,NO,CLASSIFICATION_PENDING,NO,NO,NO,DO_NOT_REUSE,Same-name folders are not automatically equivalent; source occupancy must not be treated as destination quarantine parent,DPP-018
C:\Users\steve\Projects\gradient-institution\01_constitution,Gradient institution constitution lane,CL external reference / never-copy target cited by pointer doctrine for DPP-004,NO,NO,INSTITUTIONAL_NOT_PROGRAM,NO,NO,YES,DO_NOT_REUSE,Institution-level lane; must not be reused as CL destination parent; pointers only under 04_EXTERNAL_REFERENCES if later authorized,DPP-004
C:\Users\steve\Projects\gradient-institution\03_governance,Gradient institution governance lane,Not equivalent to DPP-001 program governance,NO,NO,INSTITUTIONAL_NOT_PROGRAM,NO,NO,YES,DO_NOT_REUSE,Institutional governance is not program-local 01_PROGRAM_GOVERNANCE; parallel institutional hierarchy prohibited,DPP-001
C:\Users\steve\Projects\gradient-institution\04_registries,Gradient institution registries lane,Not equivalent to DPP-002 program registries,NO,NO,INSTITUTIONAL_NOT_PROGRAM,NO,NO,YES,DO_NOT_REUSE,Institutional registries are not program-local 02_PROGRAM_REGISTRIES; authority-deferred CL registries remain separate,DPP-002
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING,Existing Phase 02 planning packet (frozen read-only for later phases),Not a destination for MIG admits under DPP-001..005,NO,NO,YES_CANDIDATE_POSTURE,NO,NO,NO,DO_NOT_REUSE,Phase packet folders are not program governance/evidence/builder destinations; do not edit or reuse as MIG parent,DPP-001;DPP-002;DPP-003;DPP-004;DPP-005
C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR,Existing Phase 02C repair packet containing builder schemas in situ,Not a substitute for DPP-005 05_BUILDER_CONTRACTS destination,NO,NO,YES_CANDIDATE_POSTURE,NO,NO,NO,DO_NOT_REUSE,Schemas may remain staged in 02C until copy; destination parent still required for MIG-001B and is absent — do not treat 02C packet as destination parent,DPP-005
