parent_record_id,batch_id,exact_parent_path,necessity_state,supported_by_file_level_mappings,mapping_count,mapping_statuses_observed,abstract_scaffolding_only,required_only_for_deferred_records,required_only_for_unclassified_chachipti,duplicative_of_program_local_lane,duplicative_of_gradient_institution_lane,premature_lifecycle_destination,valid_minimally_required_for_mig_001a,valid_minimally_required_for_mig_001b,necessity_basis,blocking_notes
DPP-001,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,REQUIRED_FOR_CL_MIG_001A,YES,4,BLOCKED_AUTHORITY=4,NO,NO,NO,NO,NO,NO,YES,NO,CL-MIG-001A scope lists this parent for governance architecture/protocol admits; 4 mapped targets,File-level authority still unresolved; parent necessity remains for approved planning batch
DPP-002,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,BLOCKED_AUTHORITY,YES,5,BLOCKED_AUTHORITY=5,NO,YES,NO,NO,NO,NO,NO,NO,All 5 mapped targets are AUTHOR_FROM_RATIFICATION with authority deferred under RAT-CL-007,Do not materialize solely for unresolved registry authorship; await per-record authority
DPP-003,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,REQUIRED_FOR_CL_MIG_001A,YES,15,BLOCKED_AUTHORITY=15,NO,NO,NO,NO,NO,NO,YES,NO,CL-MIG-001A scope lists this parent for Phase 00/00B/00C evidence; highest mapping demand (15),File-level authority unresolved; parent still minimally required for planning scope
DPP-004,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,NOT_REQUIRED_FOR_CURRENT_BATCH,YES,13,EXCLUDED=13,NO,NO,NO,NO,NO,YES,NO,NO,All 13 mapped rows are EXCLUDED; pointer authoring not authorized; no current admit requires this parent,Premature reference-lane parent; institutional constitutions must remain referenced not copied
DPP-005,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS,REQUIRED_FOR_CL_MIG_001B,YES,2,BLOCKED_AUTHORITY=2,NO,NO,NO,NO,NO,NO,NO,YES,CL-MIG-001B scope requires this exact parent for two revised Phase 02C JSON schemas,Batch planning-only; parent minimally required before any later AUTHORIZE_COPY
DPP-006,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\06_MIGRATION_BATCHES,NOT_REQUIRED_FOR_CURRENT_BATCH,NO,0,NONE,YES,NO,NO,NO,NO,YES,NO,NO,Topology parent with zero current mapping rows; empty migration-control scaffolding,Reject for current batches; may revisit when a batch manifest packet is authorized
DPP-007,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_VOLUMES_ACTIVE,DUPLICATIVE_HIERARCHY,NO,0,NONE,YES,NO,NO,YES,NO,YES,NO,NO,Zero mappings; EXPANSION_VOLUMES already occupies active EV working-tree role for current program work,Duplicative of existing EXPANSION_VOLUMES lane for current scope; empty lifecycle scaffold prohibited now
DPP-008,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\20_SOURCE,NOT_REQUIRED_FOR_CURRENT_BATCH,NO,0,NONE,YES,NO,NO,NO,NO,YES,NO,NO,Lifecycle parent unsupported by current MIG-001A/001B mappings,Premature production/source parent; Rule 11
DPP-009,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\30_GENERATED_OUTPUT,NOT_REQUIRED_FOR_CURRENT_BATCH,NO,0,NONE,YES,NO,NO,NO,NO,YES,NO,NO,Lifecycle parent unsupported by current MIG-001A/001B mappings,Premature generated-output parent; Rule 11
DPP-010,PROGRAM_TOPOLOGY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\40_QC,NOT_REQUIRED_FOR_CURRENT_BATCH,NO,0,NONE,YES,NO,NO,NO,NO,YES,NO,NO,Lifecycle parent unsupported by current MIG-001A/001B mappings,Premature QC parent; Rule 11
