map_id,collection_id,source_root,source_system,source_relationship_class,planned_target_path,target_relationship_class,production_state,release_state,archive_state,dispute_state,migration_batch,copy_method,binary_strategy,notes
MAP-001,CONTROL,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,GOOGLE_DRIVE_THE_GRADIENT,AUTHORITATIVE_CONTROL_RECORD,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/,AUTHORITATIVE_CONTROL_RECORD,N/A,N/A,N/A,NONE,CL-MIG-001,COPY_TREE,TEXT_IN_GIT,Phase 00/01 control package home; include architecture and ratification records
MAP-002,CONTROL,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713,GOOGLE_DRIVE_THE_GRADIENT,EVIDENCE_REFERENCE,CRISIS_LITURGIES/12_ARCHIVE/provenance/CL_PHASE_00_DISK_INVENTORY_20260713/,EVIDENCE_REFERENCE,N/A,N/A,N/A,NONE,CL-MIG-001,WRITE_EXTERNAL_REFERENCE_ONLY,EXTERNAL_OR_SELECTIVE_COPY,Prefer references + checksums; full CSV may stay on Drive
MAP-003,CONTROL,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,GRADIENT_INSTITUTION,QUARANTINE_GOVERNANCE,CRISIS_LITURGIES/90_QUARANTINE/chachipti_governance_claims/ + admitted components to 02_PRODUCTION_STANDARDS/ and 13_HANDOFFS/,QUARANTINE_GOVERNANCE,N/A,N/A,N/A,Q-001,CL-MIG-001,CLASSIFY_THEN_COPY,TEXT_IN_GIT,Governance claims quarantined; components may be admitted after conformance
MAP-004,CL-I,C:\Users\steve\My Drive\The Gradient\09_RELEASES\CRISIS_LITURGIES_RELEASE_v1.0\01_Crisis_Liturgies_I,GOOGLE_DRIVE_THE_GRADIENT,CANONICAL_RELEASE,CRISIS_LITURGIES/10_FROZEN_RELEASES/CL-I/ + 12_ARCHIVE/historical/CL-I/,HISTORICAL_REFERENCE,COMPLETE_LOCKED_HISTORICAL,FROZEN_HISTORICAL,HISTORICAL_EXCEPTION,NONE,CL-MIG-002+,WRITE_EXTERNAL_REFERENCE_ONLY,EXTERNAL_BINARY_REFERENCE,Primary release candidate root from Phase 00 collection candidates; do not delete Drive tree
MAP-005,CL-I,C:\Users\steve\My Drive\The Gradient\08_ARCHIVE\CRISIS_LITURGIES\CRISIS_LITURGIES_I_NORMALIZED_REFERENCE,GOOGLE_DRIVE_THE_GRADIENT,HISTORICAL_REFERENCE,CRISIS_LITURGIES/12_ARCHIVE/historical/CL-I/normalized_reference/,HISTORICAL_REFERENCE,COMPLETE_LOCKED_HISTORICAL,FROZEN_HISTORICAL,NORMALIZED_REFERENCE_METADATA,NONE,CL-MIG-002+,COPY_TREE_OR_REFERENCE,TEXT_PREFERRED,Metadata-only normalized reference
MAP-006,CL-II,C:\Users\steve\My Drive\The Gradient\09_RELEASES\CRISIS_LITURGIES_RELEASE_v1.0\02_Crisis_Liturgies_II_Private_Instruments,GOOGLE_DRIVE_THE_GRADIENT,CANONICAL_RELEASE,CRISIS_LITURGIES/10_FROZEN_RELEASES/CL-II/ + 12_ARCHIVE/historical/CL-II/,HISTORICAL_REFERENCE,COMPLETE_LOCKED_HISTORICAL,FROZEN_HISTORICAL,HISTORICAL_EXCEPTION,NONE,CL-MIG-002+,WRITE_EXTERNAL_REFERENCE_ONLY,EXTERNAL_BINARY_REFERENCE,Confirm exact folder name at execution; multiple candidate roots exist
MAP-007,CL-II,C:\Users\steve\My Drive\The Gradient\05_IMAGERY\GENERATED_PROOFS\CRISIS_LITURGIES_II_PRIVATE_INSTRUMENTS,GOOGLE_DRIVE_THE_GRADIENT,REGISTERED_MIRROR,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/registries/mirrors/CL-II/,REGISTERED_MIRROR,COMPLETE_LOCKED_HISTORICAL,FROZEN_HISTORICAL,N/A,CF-014,CL-MIG-002+,WRITE_EXTERNAL_REFERENCE_ONLY,EXTERNAL_BINARY_REFERENCE,Inventory-selected absolute_root was proofs tree; classify vs release package before copy
MAP-008,CL-III,C:\Users\steve\My Drive\The Gradient\09_RELEASE_SNAPSHOTS\CRISIS_LITURGIES\CRISIS_LITURGIES_III_EMERGENCY_OBJECTS_v1.0,GOOGLE_DRIVE_THE_GRADIENT,CANONICAL_RELEASE,CRISIS_LITURGIES/10_FROZEN_RELEASES/CL-III/,CANONICAL_RELEASE,PRODUCTION_CLOSED,FROZEN_RELEASE,FINAL_ARCHIVE_LOCK,NONE,CL-MIG-002+,WRITE_EXTERNAL_REFERENCE_ONLY,EXTERNAL_BINARY_REFERENCE,Reference implementation for future production
MAP-009,CL-IV,C:\Users\steve\My Drive\The Gradient\06_RELEASE_ASSEMBLY\CRISIS_LITURGIES\CRISIS_LITURGIES_IV_DEPRESSIVE_INFRASTRUCTURE,GOOGLE_DRIVE_THE_GRADIENT,QUALIFIED_FROZEN_SNAPSHOT,CRISIS_LITURGIES/10_FROZEN_RELEASES/CL-IV/,QUALIFIED_FROZEN_SNAPSHOT,FROZEN_SNAPSHOT_COMPLETE,NOT_PRINT_READY,NOT_UNQUALIFIED_FINAL,Q-008;CF-006,CL-MIG-004,WRITE_EXTERNAL_REFERENCE_ONLY,EXTERNAL_BINARY_REFERENCE,Qualified state mandatory; screen derivative exists separately
MAP-010,CL-V,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES_V_DUAL_POWER_DOMESTICS,GRADIENT_INSTITUTION,CANONICAL_RELEASE,CRISIS_LITURGIES/05_VOLUMES/CL-V_DUAL_POWER_DOMESTICS/ + 10_FROZEN_RELEASES/CL-V/,CANONICAL_RELEASE,PROJECT_CLOSED,FROZEN_RELEASE,VERIFIED,CF-001_RESOLVED_LOCATION,CL-MIG-003,COPY_TREE_PLAN,MIXED_GIT_AND_EXTERNAL,Verified live tree; three matching final PDF hashes = mirrors not delete candidates
MAP-011,CL-V,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES_V_DUAL_POWER_DOMESTICS\09_RELEASE_SNAPSHOTS,GRADIENT_INSTITUTION,REGISTERED_MIRROR,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/registries/mirrors/CL-V/,REGISTERED_MIRROR,PROJECT_CLOSED,FROZEN_RELEASE,N/A,NONE,CL-MIG-003,WRITE_EXTERNAL_REFERENCE_ONLY,EXTERNAL_OR_MANIFEST,Classify with storage mirror before any retirement discussion
MAP-012,CL-V,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES_V_DUAL_POWER_DOMESTICS\10_STORAGE_MIRRORS,GRADIENT_INSTITUTION,REGISTERED_MIRROR,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/registries/mirrors/CL-V/,REGISTERED_MIRROR,PROJECT_CLOSED,FROZEN_RELEASE,N/A,NONE,CL-MIG-003,WRITE_EXTERNAL_REFERENCE_ONLY,EXTERNAL_OR_MANIFEST,Preserve; do not delete as redundant
MAP-013,CL-VI,,NONE,UNASSIGNED_NO_DIRECTORY,,UNASSIGNED_NO_DIRECTORY,N/A,N/A,N/A,CF-002_NEGATIVE,NONE,SKIP_LEAVE_IN_PLACE,N/A,Do not create collection directory
MAP-014,CL-VII,C:\Users\steve\My Drive\The Gradient\09_HANDOFFS\CRISIS_LITURGIES_VII_INITIATION_STATUS_2026-07-12.md,GOOGLE_DRIVE_THE_GRADIENT,QUARANTINE_EVIDENCE,CRISIS_LITURGIES/90_QUARANTINE/CL-VII/,QUARANTINE_EVIDENCE,NONE,NONE,NOT_ADMITTED,Q-006;CF-003,CL-MIG-007,COPY_FILE,TEXT_IN_GIT,Handoff/status only; no production tree
