mapping_id,proposed_target_path,target_parent_path,target_parent_exists,target_exists,target_type,direct_child_count,contains_files,contains_folders,same_name_source_exists,occupancy_status,collision_risk,authority_status,recommended_action
MAP-001,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/authority/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Retain proposal; do not create parent; resolve topology ratification before MIG-001
MAP-002,CRISIS_LITURGIES/12_ARCHIVE/provenance/CL_PHASE_00_DISK_INVENTORY_20260713/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance,NO,NO,ABSENT,0,NO,NO,YES,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Retain proposal; do not create parent; resolve topology ratification before MIG-001
MAP-003,CRISIS_LITURGIES/90_QUARANTINE/chachipti_governance_claims/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Retain proposal; do not create parent; resolve topology ratification before MIG-001
MAP-003,admitted components to 02_PRODUCTION_STANDARDS/ and 13_HANDOFFS/,,NO,NO,UNRESOLVED,0,NO,NO,N/A,PATH_INVALID,HIGH,UNRESOLVED,Human must resolve compound/ambiguous target (unparseable_or_empty) before any copy
MAP-004,CRISIS_LITURGIES/10_FROZEN_RELEASES/CL-I/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_FROZEN_RELEASES,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-004,12_ARCHIVE/historical/CL-I/,,NO,NO,UNRESOLVED,0,NO,NO,N/A,PATH_INVALID,HIGH,UNRESOLVED,Human must resolve compound/ambiguous target (unparseable_or_empty) before any copy
MAP-005,CRISIS_LITURGIES/12_ARCHIVE/historical/CL-I/normalized_reference/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\historical\CL-I,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-006,CRISIS_LITURGIES/10_FROZEN_RELEASES/CL-II/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_FROZEN_RELEASES,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-006,12_ARCHIVE/historical/CL-II/,,NO,NO,UNRESOLVED,0,NO,NO,N/A,PATH_INVALID,HIGH,UNRESOLVED,Human must resolve compound/ambiguous target (unparseable_or_empty) before any copy
MAP-007,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/registries/mirrors/CL-II/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\registries\mirrors,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-008,CRISIS_LITURGIES/10_FROZEN_RELEASES/CL-III/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_FROZEN_RELEASES,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-009,CRISIS_LITURGIES/10_FROZEN_RELEASES/CL-IV/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\10_FROZEN_RELEASES,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-010,CRISIS_LITURGIES/05_VOLUMES/CL-V_DUAL_POWER_DOMESTICS/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\05_VOLUMES,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-010,10_FROZEN_RELEASES/CL-V/,,NO,NO,UNRESOLVED,0,NO,NO,N/A,PATH_INVALID,HIGH,UNRESOLVED,Human must resolve compound/ambiguous target (unparseable_or_empty) before any copy
MAP-011,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/registries/mirrors/CL-V/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\registries\mirrors,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-012,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/registries/mirrors/CL-V/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\registries\mirrors,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-014,CRISIS_LITURGIES/90_QUARANTINE/CL-VII/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-015,CRISIS_LITURGIES/05_VOLUMES/CL-EV-001_THE_PYGMALION_MACHINE/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\05_VOLUMES,NO,NO,ABSENT,0,NO,NO,YES,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-016,CRISIS_LITURGIES/00_INSTITUTIONAL_CONTROL/registries/mirrors/CL-EV-001/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\registries\mirrors,NO,NO,ABSENT,0,NO,NO,NO,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
MAP-017,CRISIS_LITURGIES/05_VOLUMES/CL_DEATH_OF_THE_BIT/,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\05_VOLUMES,NO,NO,ABSENT,0,NO,NO,YES,PARENT_MISSING,MEDIUM,CANDIDATE_PROPOSAL_ONLY,Out of MIG-001 scope; retain for later batch review
